voie;insee;commune
Rue du 18 Juin 1940;03181;Montcombroux-les-Mines
Place du 8 Mai 1945;03183;Le Montet
Avenue du 8 Mai 1945;03185;Montluçon
Place du 11 Novembre;03185;Montluçon
Rue du 11 Novembre;03185;Montluçon
Rue du 11 Novembre Cour 6;03185;Montluçon
Rue du 14 Aout 1944;03185;Montluçon
Rue du 14 Juillet;03185;Montluçon
Rue du 1er Mai;03185;Montluçon
Rue du 2 Août;03185;Montluçon
Rue du 2 Août Cour 10;03185;Montluçon
Rue du 2 Août Cour 7;03185;Montluçon
Rue du 2 Août Cour 8;03185;Montluçon
Rue du 2 Août Cour 9;03185;Montluçon
Rue du 29 Septembre 1918;03185;Montluçon
Rue du 11 Novembre;03186;Montmarault
Rue du 11 Novembre;03190;Moulins
Rue du 14 Juillet;03190;Moulins
Rue du 4 Septembre;03190;Moulins
Rue du 8 Mai;03190;Moulins
Place du 8 Mai 1945;03195;Néris-les-Bains
Rue du 14 Juillet;03197;Neuilly-le-Réal
Rue du 19 Mars 1962;03211;Prémilhat
Rue du 8 Mai 1945;03229;Saint-Ennemond
Rue du Huit Mai;03229;Saint-Ennemond
Rue du 8 Mai 1945;03236;Saint-Germain-des-Fossés
Place du 18 Juin 1940;03254;Saint-Pourçain-sur-Sioule
Rue du 8 Mai 1945;03259;Saint-Sauvier
Rue du 8 Mai 1945;03264;Saint-Yorre
Rue du 8 Mai 1945;03275;Souvigny
Rue du 11 Novembre;03297;Vallon-en-Sully
Rue du 6 Juin;03297;Vallon-en-Sully
Rue du 8 Mai;03297;Vallon-en-Sully
Rue du 8 Mai 1945;03297;Vallon-en-Sully
Place du 8 Mai 1945;03298;Varennes-sur-Allier
Place du Huit Mai;03298;Varennes-sur-Allier
Rue du 11 Novembre;03298;Varennes-sur-Allier
Rue du 4 Septembre;03298;Varennes-sur-Allier
Rue du 8 Mai;03304;Vendat
Place du 8 Mai 1945;03310;Vichy
Rue du 11 Novembre;03310;Vichy
Rue du 4 Septembre;03310;Vichy
Impasse du 19 Mars 1962;03314;Villebret
Rue du 19 Mars 1962;03314;Villebret
Rue du 4 Septembre 1870;03314;Villebret
Avenue du 8 Mai 1945;03315;Villefranche-d'Allier
Rue du 8 Mai;03321;Yzeure
Place du 8 Mai 1945;04036;Le Brusquet
Avenue du 19 Mars;04039;Castellane
Rue du 11 Novembre;04039;Castellane
Rue du 8 Mai;04039;Castellane
Rue du 8 Mai 1945;04049;Château-Arnoux-Saint-Auban
Avenue du 19 Mars 1962;04063;Corbières-en-Provence
Rue du 19 Mars 1962;04063;Corbières-en-Provence
Avenue du 8 Mai 1945;04070;Digne-les-Bains
Rue du 19 Mars 1962;04070;Digne-les-Bains
Allee du 19 Mars 1962;04079;L'Escale
Rue du 19 Mars 1962;04079;L'Escale
Rue du 8 Mai 1945;04079;L'Escale
Avenue du 8 Mai 1945;04088;Forcalquier
Rue du 19 Mars 1962;04088;Forcalquier
Rue du 19 Mars 1962;04108;Malijai
Avenue du 14 Juillet 1789;04110;Mallemoisson
Avenue du 19 Août 1944;04110;Mallemoisson
Rue du 26 Aout 1789;04110;Mallemoisson
Avenue du 1er Mai;04112;Manosque
Rue du 14 Juillet;04112;Manosque
Rue du 19 Mars 1962;04116;Les Mées
Place du 19 Mars 1962;04124;Montagnac-Montpezat
Rue du 11 Novembre 1918;04143;Oraison
Rue du 19 Mars 1962;04143;Oraison
Rue du 8 Mai 1945;04143;Oraison
Rue du 19 Mars;04149;Peyruis
Place du 2 Décembre;04152;Pierrevert
Rue du 14 Juillet;04156;Puimichel
Place du 19 Mars 1962;04166;Riez
Place du 19 Mars 1962;04172;Roumoules
Place du 14 Juillet;04176;Sainte-Croix-du-Verdon
Boulevard du 6 Juin 1944;04178;Saint-Étienne-les-Orgues
Rue du 1er Mai;04188;Saint-Maime
Avenue du 8 Mai 1945;04209;Sisteron
Impasse du 18 Août 1944;04230;Valensole
Impasse du 19 Mars 1962;04230;Valensole
Rue du 18 Août 19944;04230;Valensole
Rue du 19 Mars 1962;04230;Valensole
Traverse du 18 Août 1944;04230;Valensole
Rue du 3 Decembre;04242;Villeneuve
Rue du 19 Mars 1962;04244;Volonne
Place du 27 Août 1944;05001;Abriès-Ristolas
Place du 19 Mars 1962;05003;Aiguilles
Place du 19 Mars;05010;Aspres-sur-Buëch
Rue du 19 Mars;05010;Aspres-sur-Buëch
Place du 19 Mars 1962;05019;La Beaume
Rue du 19 Mars 1962;05032;Champoléon
Place du 19 Mars 1962;05038;Château-Ville-Vieille
Place du 19 Mars;05046;Embrun
Impasse du 19 Mars 1962;05050;Espinasses
Rue du 19 Mars 1962;05050;Espinasses
Rue du 11 Novembre;05061;Gap
Place du 19 Mars 1962;05089;Montrond
Place du 19 Mars 1962;05103;Le Poët
Rue du 19 Mars 1962;05126;Rosans
Avenue du 11 Novembre;05132;Saint-Bonnet-en-Champsaur
Place du 19 Mars;05166;Serres
Place du 19 Mars 1962;05169;Sorbiers
Avenue du 11 Novembre;05170;Tallard
Place du 8 Mai;06002;Amirat
Avenue du 11 Novembre;06004;Antibes
Avenue du 24 Août;06004;Antibes
Traverse du 24 Août;06004;Antibes
Rue du 8 Mai 1945;06011;Beaulieu-sur-Mer
Avenue du 8 Mai;06014;Bendejun
Cours du 11 Novembre;06027;Cagnes-sur-Mer
Impasse du Onze Novembre;06029;Cannes
Rue du Onze Novembre;06029;Cannes
Rue du Quatorze Juillet;06029;Cannes
Rue du Vingt Quatre Août;06029;Cannes
Avenue du Trois Septembre;06032;Cap-d'Ail
Place du 8 Mai 1945;06033;Carros
Avenue du 8 Mai 1945;06047;Conségudes
Rue du 8 Mai 1945;06048;Contes
Carrefour du 8 Mai;06054;Drap
Rue du 8 Mai 1945;06064;Gattières
Allée du Huit Mai-1945;06069;Grasse
Av de la Victoire du 8 Mai 1945;06069;Grasse
Avenue du 11 Novembre;06069;Grasse
Place du 24 Aout;06069;Grasse
Rue du 11 Novembre;06069;Grasse
Rue du 11 Novembre Plan;06069;Grasse
Rue du 11 Novembre Plascassier;06069;Grasse
Rue du 24 Aout;06069;Grasse
Rue du 24 Août le Plan;06069;Grasse
Rue du 8 Mai 1945;06069;Grasse
Rue du Huit Mai le Plan;06069;Grasse
Avenue du 23 Août;06079;Mandelieu-la-Napoule
Allée du 8 Mai 1945;06083;Menton
Rue du 11 Novembre;06084;Mouans-Sartoux
Rue du 11 Novembre;06088;Nice
Rue du 24 Mars;06088;Nice
Avenue du 23 Aout;06095;Peymeinade
Rue du 4 Septembre;06099;Puget-Théniers
Rue du 24 Novembre 1926;06103;Roquebillière
Boulevard du 8 Mai;06108;La Roquette-sur-Siagne
